RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/DWH/m_DWH_LKP_CLIENTE_CORRESP_UPDATE/_ETL_m_DWH_LKP_CLIENTE_CORRESP_UPDATE.json","2026/03/19 13:29:57.793","68","org.apache.spark.SparkException(1): Multiple failures in stage materialization. | org.apache.spark.SparkException(1): Not enough memory to build and broadcast the table to all worker nodes. As a workaround, you can either disable broadcast by setting spark.sql.autoBroadcastJoinThreshold to -1 or increase the spark driver memory by setting spark.driver.memory to a higher value."
"src/main/resources/xmltobq/ETL/m_DWH_E_D_POLIZA_SG_RIESGO/_ETL_m_DWH_E_D_POLIZA_SG_RIESGO.json","2026/03/19 15:16:00.011","67","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_ORDENES_CLIENTE_SG_A/_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_SG_A.json","2026/03/19 12:11:36.940","67","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PAISES_CRS_DELETE/_ETL_m_DWH_L_TG_PAISES_CRS_DELETE.json","2026/03/19 20:20:09.184","66","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TI_ESTADO_N_INSERT/_ETL_m_DWH_L_TI_ESTADO_N_INSERT.json","2026/03/19 20:03:38.278","66","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_ORDENES_CLIENTE_FI_A/_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FI_A.json","2026/03/19 14:55:00.346","66","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_MOD_TARIF_COND_ESTD_UPDATE_GCP/_ETL_m_DWH_MOD_TARIF_COND_ESTD_UPDATE_GCP.json","2026/03/19 12:43:14.890","66","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_EEMM_CTRL_CALIDAD/_ETL_m_DWH_EEMM_CTRL_CALIDAD.json","2026/03/19 15:07:52.053","65","SUCCESS"
"src/main/resources/xmltobq/ODS/GENERAL_TABLES_5898_1/m_ODS_L_CIR_ESQUEMA_AMORTIZ/_ETL_m_ODS_L_CIR_ESQUEMA_AMORTIZ.json","2026/03/17 20:00:47.621","65","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_MOT_EXENCION_COMISION_INSERT/_ETL_m_DWH_L_TG_MOT_EXENCION_COMISION_INSERT.json","2026/03/19 20:22:38.202","62","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TIPO_CERTIFICADO_DELETE/_ETL_m_DWH_L_TIPO_CERTIFICADO_DELETE.json","2026/03/19 20:07:35.895","62","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_MOD_SUPLEM_SG_RIESGO/_ETL_m_DWH_E_D_MOD_SUPLEM_SG_RIESGO.json","2026/03/17 17:47:47.688","62","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_ORM_LKP_DIEL_CANAL_PRODUCTO/_ETL_m_DM_ORM_LKP_DIEL_CANAL_PRODUCTO.json","2026/03/19 20:17:47.193","61","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOD_TASACIONES/_ETL_m_DM_MOD_TASACIONES.json","2026/03/19 20:09:31.958","61","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_UBR_REL_CALIFICACION_INSERT/_ETL_m_DWH_D_UBR_REL_CALIFICACION_INSERT.json","2026/03/19 19:14:53.195","61","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_L_DBP_PROVEEDOR/_ETL_m_DM_L_DBP_PROVEEDOR.json","2026/03/19 18:58:20.528","61","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_EMISIONES_CVCM_UPDATE/_ETL_m_DWH_D_EMISIONES_CVCM_UPDATE.json","2026/03/19 14:18:27.627","61","SUCCESS"
