cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
stg-to-ods-collateral-system-2550c,UNKNOWN_DAG_ID,18,7,e2-highcpu-32,e2-highcpu-32,35.80,6.4161,ZERO_TIMER,00:00
comparator-warning-risk-47605-1-a,UNKNOWN_DAG_ID,18,7,e2-highcpu-32,e2-highcpu-32,35.28,6.3226,ZERO_TIMER,00:00
stg-to-ods-expert-assistant-feed4,UNKNOWN_DAG_ID,18,9,e2-highcpu-32,e2-highcpu-32,34.71,7.7750,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-03-30-0330,wf_DWH_LOAD_T_03_30,34,11,e2-highcpu-32,e2-highcpu-32,34.33,9.2280,T_03_30_NHub,04:30
cluster-wf-dwh-load-t-06-30-0630,wf_DWH_LOAD_T_06_30,19,5,n2-highcpu-80,n2-highcpu-80,34.25,16.4408,Timer_6_30,07:30
cluster-wf-dwh-load-24b57cb2-0531,wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,24,5,e2-highcpu-32,e2-highcpu-32,34.16,4.5911,T_5_31,06:31
cluster-wf-dwh-load-t-22-32-2232,wf_DWH_LOAD_T_22_32,23,13,e2-highcpu-32,e2-highcpu-32,33.86,10.6188,T_22_32,23:32
stg-to-ods-risk-data-base-es-2994b,UNKNOWN_DAG_ID,10,10,e2-highcpu-32,e2-highcpu-32,32.32,7.9638,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-j,UNKNOWN_DAG_ID,4,5,e2-highcpu-32,e2-highcpu-32,32.01,4.3021,ZERO_TIMER,00:00
comparator-current-accounts-385-25,UNKNOWN_DAG_ID,6,8,e2-highcpu-32,e2-highcpu-32,31.61,6.3734,ZERO_TIMER,00:00
stg-to-ods-odigo-contact-center-76,UNKNOWN_DAG_ID,18,7,e2-highcpu-32,e2-highcpu-32,31.44,5.6337,ZERO_TIMER,00:00
comparator-mis-590-2-j,UNKNOWN_DAG_ID,4,9,e2-highcpu-32,e2-highcpu-32,29.36,6.5777,ZERO_TIMER,00:00
comparator-guarantees-confirming7,UNKNOWN_DAG_ID,13,5,e2-highcpu-32,e2-highcpu-32,29.00,3.8972,ZERO_TIMER,00:00
comparator-fixed-term-deposits-390,UNKNOWN_DAG_ID,12,6,n2d-highcpu-32,n2d-highcpu-32,28.87,5.9277,ZERO_TIMER,00:00
comparator-insolvencies-system-631,UNKNOWN_DAG_ID,15,5,e2-highcpu-32,e2-highcpu-32,28.77,3.8673,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-04-25-0425,wf_DWH_LOAD_T_04_25,15,2,n2d-highcpu-224,n2d-highcpu-224,28.74,17.7020,Timer_4_25_Operaciones,05:25
stg-to-ods-insolvencies-system-630,UNKNOWN_DAG_ID,15,8,e2-highcpu-32,e2-highcpu-32,28.18,5.6803,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-e,UNKNOWN_DAG_ID,9,7,e2-highcpu-32,e2-highcpu-32,27.88,4.9966,ZERO_TIMER,00:00
stg-to-ods-reporting-ho-es-230948,UNKNOWN_DAG_ID,32,2,e2-highcpu-32,e2-highcpu-32,27.81,1.8686,ZERO_TIMER,00:00
cluster-wf-dwh-load-93e5fa9b-2330,wf_DWH_LOAD_T_21_09__T_23_30,18,62,n2d-highcpu-2,n2d-highcpu-2,27.02,3.1210,Timer_23_30,00:30
comparator-sg-insurances-and-pens3,UNKNOWN_DAG_ID,2,7,e2-highcpu-32,e2-highcpu-32,26.76,4.7956,ZERO_TIMER,00:00
