cluster_name,recipe_filename,p95_job_duration_ms,avg_job_duration_ms,runs
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_650.json,2120179,612960.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4009.json,2112683,522645.2,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3981.json,2104110,496543.2,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4021.json,2092232,546282.8,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4053.json,2086278,582614.6,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4026.json,2084127,549543.8,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4038.json,2074342,560667,5
cluster-wf_spark_359,_SPARK_JOB_recipe_filename_5668.json,2073445,1092447,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3961.json,2065966,490935.4,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4003.json,2059621,534749.4,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4056.json,2057322,546940.4,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4075.json,2056544,576691,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3964.json,2055459,532833.6,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3988.json,2052840,485176,6
cluster-wf_spark_304,_SPARK_JOB_recipe_filename_4702.json,2051420,586042.6666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4032.json,2048712,568537.4,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3991.json,2046750,580264.8,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2305.json,2046151,509845.8,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4062.json,2045604,567632.6,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3971.json,2039689,535851.6,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4049.json,2039002,528077.4,5
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5914.json,2031337,552274.8571428572,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5836.json,2031330,641261.5714285715,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5814.json,2028796,581491.3333333333,6
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5822.json,2027384,593638.8571428572,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5891.json,2025177,538038,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5899.json,2023976,618406.5714285715,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5894.json,2022585,712867.8,5
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5895.json,2021926,660303.8333333334,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4005.json,2008615,735496.4,5
