cluster_name,recipe_filename,avg_job_duration_ms
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TI_CALIFICACION_GEST_UPDATE.json,811846.1666666666
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_CONTRATOS_DBLINE_DELETE.json,809981
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_CIR_CLASIFIC_GARAN.json,807979.1666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_TIPO_REFINAN.json,806259.5714285715
comparator-collateral-system-25509,_ETL_m_ODS_F_GR_FGR240S.json,803964.7142857143
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_PAIS_RIESGO_UPDATE.json,803909
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_SITUACION_DEFAULT.json,798187.2857142858
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_DERECHOS_REEMBOLSO.json,797768.2857142857
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_EXANTE.json,797469.4285714286
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_SIT_ESTAMPACION_UPDATE.json,794214.8333333334
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_TIPO_CONTRATO_INSERT.json,791157.1666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_TIPO_GARANTIA_CIERRE_UPDATE.json,789268.4285714286
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_CIR_MOD_TIPO_INTERES.json,789134.8333333333
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_CALIFICACION.json,787480.8571428572
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_TIPO_VINC_DB_UPDATE.json,787108
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_CONTRATOS_DBLINE_UPDATE.json,780474.4285714285
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_PERFIL_AGENTE_DELETE.json,778140.5
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CALIFICACION_MIS.json,776566.5714285715
