cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
cluster-wf-load-info-ac79fee8-0400,_ETL_m_DWH_D_TAREAS_QS_INSERT.json,8,3,7
stg-to-ods-guarantees-confirming9,_ETL_m_ODS_TSP_24_RELEMBE.json,8,5.75,7
comparator-electronic-banking-4845,_ETL_m_ODS_TEB_15_GVO_PART.json,8,7.000000000000001,7
stg-to-ods-terms-and-fees-21701-13,_ETL_m_ODS_TSC_02_COND_PART_CLI.json,8,6.5,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_FIN_INSTRUMENT_DET_POS_FP.json,8,3.2857142857142856,7
stg-to-ods-risk-data-base-es-2994b,_ETL_m_ODS_RD_01_LR_CLIENTE.json,8,6.8,7
cluster-wf-load-info-ac79fee8-0400,_ETL_m_DWH_E_F_HISTORICO_OPERACION_VL_CU.json,8,4.285714285714286,7
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_REL_LIN_INTEGRANTES.json,8,5.8,7
comparator-securities-valors-4090,_ETL_m_ODS_TVA_60_CONTRATOS.json,8,6.857142857142857,7
stg-to-ods-financial-agents-4550-2,_ETL_m_ODS_TAG01.json,8,4.6,7
cluster-wf-dwh-load-t-22-45-2245,_ETL_m_DWH_E_LKP_MODULO_GLOBAL_RIEGOS.json,8,5.142857142857142,7
cluster-wf-dmr-load-t-08-00-0800,_ETL_m_DWH_E_RATING_JCO_D.json,8,4.666666666666666,7
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_DATOS_BASICOS.json,8,6.333333333333333,7
stg-to-ods-payments-544-2-d,_ETL_m_ODS_TEX_15.json,8,5.666666666666667,7
stg-to-ods-collateral-system-2550c,_ETL_m_ODS_TGR_07_GREAL_CON_CT.json,8,6.333333333333333,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_SG_E.json,8,3.8571428571428568,7
comparator-risk-data-base-es-29944,_ETL_m_ODS_CL_35_PERSONA_RATIO_ADIC.json,8,6,7
cluster-wf-load-info-10ffe88b-0500,_ETL_m_DWH_F_CIRBE_MODULO_D_PAR.json,8,4.428571428571429,7
cluster-wf-dmr-load-t-06-00-0600,_ETL_m_DWH_F_MOVIMIENTOS_SICAV_PAR.json,8,2.571428571428571,7
comparator-warning-risk-47605-1-a,_ETL_m_ODS_AR_ALARMA_CIRBE.json,8,5.166666666666667,7
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_MOD_HIST_PETICION.json,8,2.6666666666666665,7
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_REL_GAR_INTEGRANTES.json,8,6.285714285714286,7
stg-to-ods-partner-data-4433-1-a,_ETL_m_ODS_PW19_CLASE_CLIENTE.json,8,7.6,7
comparator-odigo-contact-center-7d,_ETL_m_ODS_ODIGO_GATES_DDI_DETAIL.json,8,6.4,7
stg-to-ods-wealth-manager-49067-1,_ETL_m_ODS_XE_RESTRICCION.json,8,4.857142857142857,7
stg-to-ods-guarantees-confirming6,_ETL_m_ODS_TAV_05_COMISION.json,8,4.7142857142857135,7
comparator-card-processing-644-1-b,_ETL_m_ODS_TID_A8_BONIF_TARJETA.json,8,5,7
cluster-wf-dwh-load-t-05-00-0500,_ETL_m_DWH_F_OPERACIONES_SMARAG_PAR.json,8,5.285714285714286,7
