cluster_name,recipe_filename,peak_job_duration_ms
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4049.json,2039002
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5914.json,2031337
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5836.json,2031330
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5814.json,2028796
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5822.json,2027384
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5891.json,2025177
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5899.json,2023976
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5894.json,2022585
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5895.json,2021926
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4005.json,2008615
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4051.json,2008340
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3931.json,2001122
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3977.json,2000396
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4035.json,1997303
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4011.json,1997197
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3990.json,1995997
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3969.json,1995693
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3968.json,1995609
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5896.json,1983625
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5920.json,1983493
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5884.json,1982709
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5915.json,1982505
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5917.json,1979368
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5405.json,1979342
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5908.json,1977895
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5906.json,1977145
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5811.json,1975712
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5876.json,1974663
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4165.json,1970491
cluster-wf_spark_351,_SPARK_JOB_recipe_filename_4869.json,1965948
cluster-wf_spark_359,_SPARK_JOB_recipe_filename_5422.json,1953664
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2768.json,1908138
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3967.json,1907743
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2758.json,1906952
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3718.json,1906621
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2760.json,1906254
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4095.json,1905339
cluster-wf_spark_219,_SPARK_JOB_recipe_filename_5232.json,1896202
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4093.json,1876629
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2306.json,1848471
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2756.json,1848198
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2201.json,1846593
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4076.json,1844336
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3876.json,1821309
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3970.json,1819889
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_77.json,1801627
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_66.json,1770550
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_96.json,1770292
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_100.json,1769509
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_84.json,1763430
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1195.json,1758332
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_89.json,1752794
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_88.json,1752314
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_75.json,1730341
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_70.json,1720968
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_76.json,1703921
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_93.json,1691654
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_68.json,1690397
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_94.json,1690161
cluster-wf_spark_84,_SPARK_JOB_recipe_filename_92.json,1689316
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_3468.json,1684479
cluster-wf_spark_184,_SPARK_JOB_recipe_filename_5084.json,1675474
cluster-wf_spark_306,_SPARK_JOB_recipe_filename_6208.json,1665419
cluster-wf_spark_171,_SPARK_JOB_recipe_filename_5432.json,1637786
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1075.json,1602728
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_926.json,1562692
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_911.json,1496414
cluster-wf_spark_324,_SPARK_JOB_recipe_filename_4757.json,1450851
cluster-wf_spark_322,_SPARK_JOB_recipe_filename_5109.json,1437671
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3959.json,1434115
cluster-wf_spark_333,_SPARK_JOB_recipe_filename_4829.json,1426292
cluster-wf_spark_14,_SPARK_JOB_recipe_filename_2082.json,1426171
cluster-wf_spark_341,_SPARK_JOB_recipe_filename_5406.json,1414970
cluster-wf_spark_361,_SPARK_JOB_recipe_filename_5674.json,1401937
cluster-wf_spark_9,_SPARK_JOB_recipe_filename_1209.json,1371543
cluster-wf_spark_361,_SPARK_JOB_recipe_filename_5662.json,1366278
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_591.json,1350766
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4084.json,1349286
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_532.json,1347073
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3861.json,1330339
cluster-wf_spark_9,_SPARK_JOB_recipe_filename_5990.json,1328904
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3872.json,1328481
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3938.json,1327586
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1045.json,1327385
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_1291.json,1325575
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4100.json,1324927
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3860.json,1320655
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_1003.json,1297572
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_463.json,1290715
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_1150.json,1286286
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_1043.json,1280636
cluster-wf_spark_30,_SPARK_JOB_recipe_filename_3114.json,1277487
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_855.json,1276862
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3850.json,1272958
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_465.json,1272708
cluster-wf_spark_101,_SPARK_JOB_recipe_filename_568.json,1272556
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3873.json,1272452
